[(      6901,43)]
[(      5272,6)]
[(      2266,42)]
[(      4543,27)]
[(      8026,14)]
[(      3652,5)]
[(      6163,33)]
[(      2761,45)]
[(      9287,6)]
[(      6325,37)]
[(      9331,18)]
[(      3076,55)]
[(      5966,43)]
[(      5434,2)]
[(      1456,15)]
[(      8477,3)]
[(      3238,10)]
[(      3814,31)]
[(      4624,20)]
[(      3201,86)]
[(      3319,36)]
[(      8107,5)]
[(      4011,9)]
[(      7216,2)]
[(      7135,7)]
[(      9863,6)]
[(      7667,6)]
[(      2923,21)]
[(      7586,18)]
[(      4381,87)]
[(      8396,1)]
[(      9449,15)]
[(      8891,43)]
[(      9412,13)]
[(      3737,42)]
[(      3043,40)]
[(      3205,32)]
[(      7102,26)]
[(      1793,4)]
[(      7553,105)]
[(      9416,3)]
[(      2071,66)]
[(      4709,7)]
[(      2152,73)]
[(      1261,63)]
[(      5401,64)]
[(      6086,13)]
[(      9911,3)]
[(      6905,22)]
[(      7391,83)]
[(      9254,20)]
[(      1504,43)]
[(      6824,82)]
[(      8895,5)]
[(      8525,5)]
[(      5438,4)]
[(      2314,38)]
[(      8606,39)]
[(      8444,3)]
[(      9335,2)]
[(      6581,57)]
[(      6211,741)]
[(      3124,41)]
[(      7634,1)]
[(      6662,70)]
[(      9948,1)]
[(      7715,4)]
[(      7021,51)]
[(      3818,125)]
[(      6167,11)]
[(      7472,3)]
[(      1423,28)]
[(      2684,5)]
[(      4385,27)]
[(      5469,38)]
[(      8394,3)]
[(      9861,21)]
[(      8024,57)]
[(      2921,13)]
[(      9447,1)]
[(      3155,38)]
[(      7908,69)]
[(      4208,4)]
[(      5964,6)]
[(      8105,7)]
[(      8637,1)]
[(      9942,1)]
[(      7665,10)]
[(      3849,22)]
[(      1454,6)]
[(      4622,15)]
[(      3317,91)]
[(      9285,41)]
[(      3074,52)]
[(      5351,69)]
[(      3731,48)]
[(      2264,47)]
[(      5513,9)]
[(      1616,29)]
[(      7214,14)]
[(      8475,1)]
[(      3768,108)]
[(      9979,24)]
[(      4703,71)]
[(      6161,26)]
[(      7827,66)]
[(      5018,59)]
[(      3812,242)]
[(      9528,8)]
[(      5388,25)]
[(      5432,30)]
[(      9609,1)]
[(      4541,14)]
[(      8556,4)]
[(      9805,3)]
[(      7447,28)]
[(      8095,21)]
[(      7609,79)]
[(      8914,19)]
[(      8752,13)]
[(      9111,2)]
[(      1812,64)]
[(      2992,90)]
[(      1687,23)]
[(      9724,93)]
[(      1317,22)]
[(      3432,28)]
[(      4161,11)]
[(      7861,7)]
[(      3351,49)]
[(      4323,6)]
[(      7942,56)]
[(      6105,5)]
[(      8301,11)]
[(      2497,70)]
[(      1731,10)]
[(      5133,24)]
[(      4693,5)]
[(      2622,30)]
[(      4855,6)]
[(      2541,16)]
[(      3513,74)]
[(      1074,232)]
[(      6024,8)]
[(      6718,58)]
[(      8338,5)]
[(      5089,2)]
[(      5827,3)]
[(      9481,18)]
[(      5052,14)]
[(      5665,16)]
[(      8103,26)]
[(      3847,22)]
[(      5467,38)]
[(      1489,2)]
[(      1452,13)]
[(      7582,18)]
[(      2181,51)]
[(      5962,3)]
[(      9283,6)]
[(      7825,12)]
[(      9607,1)]
[(      6691,23)]
[(      5629,57)]
[(      7663,3)]
[(      4576,10)]
[(      4701,88)]
[(      5386,16)]
[(      6439,5)]
[(      7906,22)]
[(      6277,2)]
[(      6321,7)]
[(      9526,1)]
[(      2262,32)]
[(      3315,85)]
[(      3766,41)]
[(      2343,54)]
[(      8022,27)]
[(      4819,13)]
[(      9977,9)]
[(      1119,102)]
[(      1614,12)]
[(      3072,420)]
[(      7131,61)]
[(      8392,4)]
[(      4206,13)]
[(      3234,1)]
[(      5511,8)]
[(      9364,4)]
[(      9657,1)]
[(      3527,90)]
[(      2023,90)]
[(      6533,49)]
[(      1132,32)]
[(      5066,19)]
[(      8072,55)]
[(      8766,1)]
[(      9125,1)]
[(      3608,14)]
[(      4337,41)]
[(      2104,18)]
[(      6984,5)]
[(      2555,51)]
[(      9738,9)]
[(      5804,18)]
[(      3941,93)]
[(      3284,16)]
[(      5642,30)]
[(      4175,14)]
[(      1826,28)]
[(      6371,23)]
[(      7875,13)]
[(      1051,190)]
[(      7794,5)]
[(      8315,24)]
[(      9206,6)]
[(      7424,44)]
[(      1213,123)]
[(      8153,1)]
[(      3446,61)]
[(      5561,10)]
[(      9044,1)]
[(      2717,68)]
[(      3897,10)]
[(      2636,46)]
[(      6001,86)]
[(      4751,24)]
[(      9162,8)]
[(      6732,6)]
[(      2222,1)]
[(      7542,50)]
[(      5922,26)]
[(      9937,3)]
[(      4536,20)]
[(      7461,88)]
[(      5346,36)]
[(      3645,70)]
[(      4617,77)]
[(      9405,217)]
[(      3032,158)]
[(      8433,14)]
[(      1412,38)]
[(      2141,86)]
[(      5841,7)]
[(      6651,73)]
[(      5427,33)]
[(      3069,86)]
[(      3564,44)]
[(      3113,7)]
[(      8019,25)]
[(      5508,51)]
[(      6813,42)]
[(      4004,6)]
[(      7047,8)]
[(      6075,13)]
[(      8884,3)]
[(      1331,5)]
[(      9081,1)]
[(      8271,50)]
[(      4455,15)]
[(      4374,49)]
[(      7623,27)]
[(      2592,41)]
[(      2673,13)]
[(      1944,25)]
[(      1782,51)]
[(      9243,15)]
[(      8527,1)]
[(      6132,38)]
[(      1795,65)]
[(      9418,13)]
[(      3991,141)]
[(      5241,45)]
[(      5692,31)]
[(      6088,119)]
[(      3045,131)]
[(      6213,21)]
[(      1182,85)]
[(      5403,40)]
[(      3702,18)]
[(      8941,9)]
[(      8446,48)]
[(      8608,29)]
[(      2316,58)]
[(      9751,50)]
[(      2235,29)]
[(      4882,11)]
[(      3207,64)]
[(      6826,58)]
[(      1506,269)]
